Name,Type,FortuneCost,ShotCost,Description
Establishing Shot,core,0,0,<p>Your first Martial Arts attack of any fight gets a +2 bonus.</p>
Mounting Fury I,core,0,0,"<p>If you miss with a Martial Arts attack, you gain a +1 cumulative bonus to your next Martial Arts attack. The bonus resets to 0 after you hit, and at the end of the fight.</p>"
Very Big,core,0,0,<p>You make Up Checks and gain Marks of Death only when you reach 50 Wound Points. Impairment of –1 occurs only at 40 Wound Points; Impairment of –2 at 45 Wound Points.</p>
Strong as an Ox,core,0,0,"<p>Add 3 to your Damage on any successful Martial Arts strike, including strikes with hand-to-hand weapons. (Damage Values for your starting weapons already include this bonus.) You can use absurdly large objects, like motorcycles, as improvised weapons. You also get +3 to all Strength Checks</p>"
Healthy as a Horse,core,0,0,<p>You get a +3 bonus to Constitution Checks.</p>
The bigger they come...,disadvantage,0,0,"<p>Toughness is reduced by –5 if you reach 50 or more Wound Points, until all Death Checks from this fight have been resolved</p>"
Lucky You,core,0,0,"<p>When you run out of Fortune, roll a die. On a 1 or 2, regain all your spent Fortune.</p>"
Improvise Weapon Mastery,core,0,0,"<p>Gain +1 Martial Arts when fighting with an improvised weapon found at the scene. After 3 successful attacks, you lose the bonus—unless you describe yourself picking up and using a different improvised weapon (shot cost 1).</p>"
Accidental Awesome,core,0,0,"<p>After you fail an Attack Check with an improvised weapon, add a free Fortune die to your next check or Dodge.</p>"
Ready Resupply,core,0,1,"<p>When an ally gets a Way-Awful Failure on an attack, is disarmed, or fails a Reload Check, you may spend 1 shot as an interrupt: that ally may make an attack as an interrupt at a shot cost of 0 and gains +2 Damage (stackable) until the end of the fight.</p>"
Bag Full of Guns II,gun,0,0,"<p>You rotate through a selection of guns over the course of a fight. Start each fight with a revolver (9/2/6.) Each time you attack a named foe and fail to dish out more than 15 Wound Points, spend 0 shots to move to the next item in this gun list: Colt 1911A 10/2/4 Desert Eagle .357 Magnum 11/3/3 Chiappa Rhino 12/3/5 Mossberg Special Purpose 13/5/4 homemade shotgun 14/5/4 homemade rifle 15/5/1 Homemade weapons fall apart at end of fight. Only you can use them.</p>"
Nutball Luck,core,1,0,<p>Spend 1 Fortune and 0 shots to gain +2 Defense vs. Guns attacks and +3 Toughness vs. explosion and debris damage until end of sequence.</p>
"Oops, Forgot That One",disadvantage,0,0,"<p>You always fail Concealment Checks. If searched for weapons, the searchers always find everything you’re carrying and completely disarm you. Even if you said you got rid of all your weapons, they always find at least a hidden ankle piece. (This does not mean that you always have a weapon.)</p>"
Wild Grenade,gun,1,0,"<p>When you miss with a grenade, you may spend 1 Fortune. Characters between you and your target do not make Fortune rolls to avoid it. Instead you and a nearby character of your choice, other than the target, take 20 Damage from flying debris.</p>"
Mutant Punch,core,0,0,<p>Make hand-to-hand attacks using your Mutant Attack Value.</p>
Very Strong,gene,0,1,"<p>Spend 1 shot. Until end of fight, add 3 to your Damage on any successful hand-to-hand strike (using your Mutant Attack Value) including strikes with handto-hand weapons. You can use absurdly large objects, like parking meters, as improvised weapons.</p>"
Very Fast,gene,2,0,"<p>Spend 2 Genome points. Until end of sequence, the shot costs of all your actions decreases by 1, with a minimum of 1 per action. You can move up to 30 m per sequence.</p>"
Force Shield,gene,1,1,<p>Spend 1 Genome point and 1 shot; your Defense increases by 1 until end of sequence.</p>
